fecha_vacunacion,DOSIS,cuenta
2020-04-27,1,1
2020-09-09,1,13
2020-09-10,1,2
2020-09-11,1,4
2020-09-12,1,4
2020-09-14,1,4
2020-09-15,1,3
2020-09-16,1,5
2020-09-17,1,8
2020-09-18,1,9
2020-09-19,1,9
2020-09-21,1,6
2020-09-22,1,5
2020-09-23,1,9
2020-09-24,1,7
2020-09-25,1,10
2020-09-26,1,12
2020-09-28,1,7
2020-09-29,1,5
2020-09-30,1,14
2020-09-30,2,10
2020-10-01,1,13
2020-10-01,2,3
2020-10-02,1,18
2020-10-02,2,4
2020-10-03,1,16
2020-10-03,2,3
2020-10-05,1,11
2020-10-05,2,3
2020-10-06,1,28
2020-10-06,2,4
2020-10-07,1,14
2020-10-07,2,5
2020-10-08,1,18
2020-10-08,2,5
2020-10-09,1,17
2020-10-09,2,11
2020-10-10,1,15
2020-10-10,2,4
2020-10-12,1,11
2020-10-12,2,6
2020-10-13,1,20
2020-10-13,2,6
2020-10-14,1,9
2020-10-14,2,7
2020-10-15,1,9
2020-10-15,2,11
2020-10-16,1,13
2020-10-16,2,6
2020-10-17,1,21
2020-10-17,2,14
2020-10-18,1,9
2020-10-19,1,21
2020-10-19,2,7
2020-10-20,1,17
2020-10-20,2,5
2020-10-21,1,16
2020-10-21,2,16
2020-10-22,1,14
2020-10-22,2,11
2020-10-23,1,12
2020-10-23,2,14
2020-10-24,1,24
2020-10-24,2,15
2020-10-25,1,4
2020-10-26,1,13
2020-10-26,2,8
2020-10-27,1,15
2020-10-27,2,26
2020-10-28,1,4
2020-10-28,2,17
2020-10-29,1,6
2020-10-29,2,19
2020-10-30,1,5
2020-10-30,2,16
2020-10-31,1,13
2020-10-31,2,15
2020-11-02,1,5
2020-11-02,2,10
2020-11-03,1,9
2020-11-03,2,17
2020-11-04,1,7
2020-11-04,2,11
2020-11-05,1,8
2020-11-05,2,6
2020-11-06,1,6
2020-11-06,2,11
2020-11-07,1,5
2020-11-07,2,16
2020-11-08,2,9
2020-11-09,1,8
2020-11-09,2,18
2020-11-10,1,9
2020-11-10,2,17
2020-11-11,1,8
2020-11-11,2,13
2020-11-12,1,8
2020-11-12,2,13
2020-11-13,1,7
2020-11-13,2,21
2020-11-14,1,9
2020-11-14,2,21
2020-11-15,2,6
2020-11-16,1,10
2020-11-16,2,14
2020-11-17,1,5
2020-11-17,2,16
2020-11-18,1,6
2020-11-18,2,4
2020-11-19,1,6
2020-11-19,2,4
2020-11-20,1,15
2020-11-20,2,3
2020-11-21,1,19
2020-11-21,2,10
2020-11-23,1,11
2020-11-23,2,7
2020-11-24,1,11
2020-11-24,2,11
2020-11-25,1,18
2020-11-25,2,8
2020-11-26,1,14
2020-11-26,2,9
2020-11-27,1,14
2020-11-27,2,6
2020-11-28,1,12
2020-11-28,2,6
2020-11-30,1,12
2020-11-30,2,8
2020-12-01,1,8
2020-12-01,2,12
2020-12-02,1,17
2020-12-02,2,5
2020-12-03,1,9
2020-12-03,2,8
2020-12-04,1,9
2020-12-04,2,5
2020-12-05,1,11
2020-12-05,2,13
2020-12-07,1,8
2020-12-07,2,10
2020-12-09,1,12
2020-12-09,2,7
2020-12-10,1,13
2020-12-10,2,7
2020-12-11,1,20
2020-12-11,2,9
2020-12-14,1,1
2020-12-15,1,2
2020-12-16,1,2
2020-12-16,2,5
2020-12-17,1,4
2020-12-17,2,21
2020-12-18,1,10
2020-12-18,2,19
2020-12-19,1,12
2020-12-19,2,25
2020-12-20,2,1
2020-12-21,1,2
2020-12-21,2,18
2020-12-22,1,4
2020-12-22,2,13
2020-12-23,1,3
2020-12-23,2,14
2020-12-24,2,2
2020-12-26,1,7
2020-12-26,2,30
2020-12-28,1,11
2020-12-28,2,17
2020-12-29,1,6
2020-12-29,2,3
2020-12-30,1,2
2020-12-30,2,9
2021-01-02,2,19
2021-01-04,1,1
2021-01-04,2,10
2021-01-05,1,1
2021-01-05,2,8
2021-01-06,1,1
